Time,MistakesInRow
45412.530234,0
45412.530280,0
45412.530326,0
45412.530372,1
45412.530419,0
45412.530465,0
45412.530511,2
45412.530558,0
45412.530604,0
45412.530650,0
45412.530697,0
45412.530743,0
45412.530789,0
45412.530835,1
45412.530882,1
45412.530928,1
45412.530974,1
45412.531021,1
45412.531067,1
45412.531113,1
45412.531160,1
45412.531206,1
45412.531252,1
45412.531298,1
45412.531345,1
45412.531391,1
45412.531437,1
45412.531484,1
45412.531530,1
45412.531576,1
45412.531623,1
45412.531669,1
45412.531715,1
45412.531761,1
45412.531808,1
45412.531854,1
45412.531900,1
45412.531947,1
45412.531993,1
45412.532039,1
45412.532085,1
45412.532132,1
45412.532178,1
45412.532224,1
45412.532271,1
45412.532317,1
45412.532363,1
45412.532410,1
45412.532456,1
45412.532502,1
45412.532548,1
45412.532595,1
45412.532641,1
45412.532687,1
45412.532734,1
45412.532780,1
45412.532826,1
