Time,SuccessfulPoints
45412.530244,21
45412.530291,21
45412.530337,22
45412.530383,24
45412.530429,25
45412.530476,26
45412.530522,26
45412.530568,29
45412.530615,31
45412.530661,34
45412.530707,37
45412.530754,37
45412.530800,39
45412.530846,40
45412.530892,40
45412.530939,40
45412.530985,40
45412.531031,40
45412.531078,40
45412.531124,40
45412.531170,40
45412.531217,40
45412.531263,40
45412.531309,40
45412.531355,40
45412.531402,40
45412.531448,40
45412.531494,40
45412.531541,40
45412.531587,40
45412.531633,40
45412.531680,40
45412.531726,40
45412.531772,40
45412.531818,40
45412.531865,40
45412.531911,40
45412.531957,40
45412.532004,40
45412.532050,40
45412.532096,40
45412.532143,40
45412.532189,40
45412.532235,40
45412.532281,40
45412.532328,40
45412.532374,40
45412.532420,40
45412.532467,40
45412.532513,40
45412.532559,40
45412.532605,40
45412.532652,40
45412.532698,40
45412.532744,40
45412.532791,40
45412.532837,40
45412.532883,40
45412.532930,40
45412.532976,40
45412.533022,40
